index,question,options,option1,option2,option3,option4,answer,explanation
1,CPU scheduling is the basis of ___________,"['a) multiprocessor systems', 'b) multiprogramming operating systems', 'c) larger memory sized systems', 'd) none of the mentioned']",a) multiprocessor systems,b) multiprogramming operating systems,c) larger memory sized systems,d) none of the mentioned,b,None.
2,With multiprogramming ______ is used productively,"['a) time', 'b) space', 'c) money', 'd) all of the mentioned']",a) time,b) space,c) money,d) all of the mentioned,a,None.
3,What are the two steps of a process execution?,"['a) I/O & OS Burst', 'b) CPU & I/O Burst', 'c) Memory & I/O Burst', 'd) OS & Memory Burst']",a) I/O & OS Burst,b) CPU & I/O Burst,c) Memory & I/O Burst,d) OS & Memory Burst,b,None.
4,An I/O bound program will typically have ____________,"['a) a few very short CPU bursts', 'b) many very short I/O bursts', 'c) many very short CPU bursts', 'd) a few very short I/O bursts']",a) a few very short CPU bursts,b) many very short I/O bursts,c) many very short CPU bursts,d) a few very short I/O bursts,c,None.
5,"A process is selected from the ______ queue by the ________ scheduler, to be executed","['a) blocked, short term', 'b) wait, long term', 'c) ready, short term', 'd) ready, long term']","a) blocked, short term","b) wait, long term","c) ready, short term","d) ready, long term",c,None.
6,In the following cases non – preemptive scheduling occurs?,"['a) When a process switches from the running state to the ready state', 'b) When a process goes from the running state to the waiting state', 'c) When a process switches from the waiting state to the ready state', 'd) All of the mentioned']",a) When a process switches from the running state to the ready state,b) When a process goes from the running state to the waiting state,c) When a process switches from the waiting state to the ready state,d) All of the mentioned,b,There is no other choice.
7,The switching of the CPU from one process or thread to another is called ____________,"['a) process switch', 'b) task switch', 'c) context switch', 'd) all of the mentioned']",a) process switch,b) task switch,c) context switch,d) all of the mentioned,d,None.
8,What is Dispatch latency?,"['a) the speed of dispatching a process from running to the ready state', 'b) the time of dispatching a process from running to ready state and keeping the CPU idle', 'c) the time to stop one process and start running another one', 'd) none of the mentioned']",a) the speed of dispatching a process from running to the ready state,b) the time of dispatching a process from running to ready state and keeping the CPU idle,c) the time to stop one process and start running another one,d) none of the mentioned,c,None.
9,Scheduling is done so as to ____________,"['a) increase CPU utilization', 'b) decrease CPU utilization', 'c) keep the CPU more idle', 'd) none of the mentioned']",a) increase CPU utilization,b) decrease CPU utilization,c) keep the CPU more idle,d) none of the mentioned,a,None.
10,Scheduling is done so as to ____________,"['a) increase the throughput', 'b) decrease the throughput', 'c) increase the duration of a specific amount of work', 'd) none of the mentioned']",a) increase the throughput,b) decrease the throughput,c) increase the duration of a specific amount of work,d) none of the mentioned,a,None.
11,What is Turnaround time?,"['a) the total waiting time for a process to finish execution', 'b) the total time spent in the ready queue', 'c) the total time spent in the running queue', 'd) the total time from the completion till the submission of a process']",a) the total waiting time for a process to finish execution,b) the total time spent in the ready queue,c) the total time spent in the running queue,d) the total time from the completion till the submission of a process,d,None.
12,Scheduling is done so as to ____________,"['a) increase the turnaround time', 'b) decrease the turnaround time', 'c) keep the turnaround time same', 'd) there is no relation between scheduling and turnaround time']",a) increase the turnaround time,b) decrease the turnaround time,c) keep the turnaround time same,d) there is no relation between scheduling and turnaround time,b,None.
13,What is Waiting time?,"['a) the total time in the blocked and waiting queues', 'b) the total time spent in the ready queue', 'c) the total time spent in the running queue', 'd) the total time from the completion till the submission of a process']",a) the total time in the blocked and waiting queues,b) the total time spent in the ready queue,c) the total time spent in the running queue,d) the total time from the completion till the submission of a process,b,None.
14,Scheduling is done so as to ____________,"['a) increase the waiting time', 'b) keep the waiting time the same', 'c) decrease the waiting time', 'd) none of the mentioned']",a) increase the waiting time,b) keep the waiting time the same,c) decrease the waiting time,d) none of the mentioned,c,None.
15,What is Response time?,"['a) the total time taken from the submission time till the completion time', 'b) the total time taken from the submission time till the first response is produced', 'c) the total time taken from submission time till the response is output', 'd) none of the mentioned']",a) the total time taken from the submission time till the completion time,b) the total time taken from the submission time till the first response is produced,c) the total time taken from submission time till the response is output,d) none of the mentioned,b,None.
