index,question,options,option1,option2,option3,option4,answer,explanation
1,Reliability of files can be increased by _____________,"['a) keeping the files safely in the memory', 'b) making a different partition for the files', 'c) by keeping them in external storage', 'd) by keeping duplicate copies of the file']",a) keeping the files safely in the memory,b) making a different partition for the files,c) by keeping them in external storage,d) by keeping duplicate copies of the file,d,None.
2,Protection is only provided at the _____ level,"['a) lower', 'b) central', 'c) higher', 'd) none of the mentioned']",a) lower,b) central,c) higher,d) none of the mentioned,a,None.
3,What is the main problem with access control lists?,"['a) their maintenance', 'b) their length', 'c) their permissions', 'd) all of the mentioned']",a) their maintenance,b) their length,c) their permissions,d) all of the mentioned,b,None.
4,Many systems recognize three classifications of users in connection with each file (to condense the access control list),"['a) Owner', 'b) Group', 'c) Universe', 'd) All of the mentioned']",a) Owner,b) Group,c) Universe,d) All of the mentioned,d,None.
5,All users in a group get _______ access to a file,"['a) different', 'b) similar', 'c) same', 'd) none of the mentioned']",a) different,b) similar,c) same,d) none of the mentioned,b,None.
6,Universe consists of _____________,"['a) all users that aren’t included in the group or owners', 'b) all users that are not owners', 'c) all users in the system', 'd) none of the mentioned']",a) all users that aren’t included in the group or owners,b) all users that are not owners,c) all users in the system,d) none of the mentioned,c,None.
7,"In UNIX, groups can be created and modified by?","['a) superuser', 'b) any user', 'c) a programmer only', 'd) the people in the group only']",a) superuser,b) any user,c) a programmer only,d) the people in the group only,a,None.
8,To control access the three bits used in UNIX are represented by _____________,"['a) r', 'b) w', 'c) x', 'd) all of the mentioned']",a) r,b) w,c) x,d) all of the mentioned,d,None.
9,"If each access to a file is controlled by a password, then what is the disadvantage?","['a) user will need to remember a lot of passwords', 'b) it is not reliable', 'c) it is not efficient', 'd) all of the mentioned']",a) user will need to remember a lot of passwords,b) it is not reliable,c) it is not efficient,d) all of the mentioned,a,None.
10,What will happen in a multi level directory structure?,"['a) the same previous techniques will be used as in the other structures', 'b) a mechanism for directory protection will have to applied', 'c) the subdirectories do not need protection once the directory is protected', 'd) none of the mentioned']",a) the same previous techniques will be used as in the other structures,b) a mechanism for directory protection will have to applied,c) the subdirectories do not need protection once the directory is protected,d) none of the mentioned,b,None.
11,"In UNIX, the directory protection is handled _________ to the file protection","['a) different', 'b) similar', 'c) it is not handled at all', 'd) none of the mentioned']",a) different,b) similar,c) it is not handled at all,d) none of the mentioned,b,None.
12,"Disks are segmented into one or more partitions, each containing a file system or ______","['a) left ‘raw’', 'b) made into swap space', 'c) made into backup space', 'd) left ‘ripe’']",a) left ‘raw’,b) made into swap space,c) made into backup space,d) left ‘ripe’,a,None.
