index,question,options,option1,option2,option3,option4,answer,explanation
1,"The process of dividing a disk into sectors that the disk controller can read and write, before a disk can store data is known as ____________","['a) partitioning', 'b) swap space creation', 'c) low-level formatting', 'd) none of the mentioned']",a) partitioning,b) swap space creation,c) low-level formatting,d) none of the mentioned,c,None.
2,The data structure for a sector typically contains ____________,"['a) header', 'b) data area', 'c) trailer', 'd) all of the mentioned']",a) header,b) data area,c) trailer,d) all of the mentioned,d,None.
3,The header and trailer of a sector contain information used by the disk controller such as _________ and _________,"['a) main section & disk identifier', 'b) error correcting codes (ECC) & sector number', 'c) sector number & main section', 'd) disk identifier & sector number']",a) main section & disk identifier,b) error correcting codes (ECC) & sector number,c) sector number & main section,d) disk identifier & sector number,b,None.
4,The two steps the operating system takes to use a disk to hold its files are _______ and ________,"['a) partitioning & logical formatting', 'b) swap space creation & caching', 'c) caching & logical formatting', 'd) logical formatting & swap space creation']",a) partitioning & logical formatting,b) swap space creation & caching,c) caching & logical formatting,d) logical formatting & swap space creation,a,None.
5,"The _______ program initializes all aspects of the system, from CPU registers to device controllers and the contents of main memory, and then starts the operating system","['a) main', 'b) bootloader', 'c) bootstrap', 'd) rom']",a) main,b) bootloader,c) bootstrap,d) rom,c,None.
6,"For most computers, the bootstrap is stored in ________","['a) RAM', 'b) ROM', 'c) Cache', 'd) Tertiary storage']",a) RAM,b) ROM,c) Cache,d) Tertiary storage,b,None.
7,A disk that has a boot partition is called a _________,"['a) start disk', 'b) end disk', 'c) boot disk', 'd) all of the mentioned']",a) start disk,b) end disk,c) boot disk,d) all of the mentioned,c,None.
8,Defective sectors on disks are often known as __________,"['a) good blocks', 'b) destroyed blocks', 'c) bad blocks', 'd) none of the mentioned']",a) good blocks,b) destroyed blocks,c) bad blocks,d) none of the mentioned,c,None.
9,"In SCSI disks used in high end PCs, the controller maintains a list of _________ on the disk","['a) destroyed blocks, high level formatting', 'b) bad blocks, partitioning', 'c) bad blocks, low level formatting', 'd) destroyed blocks, partitioning']","a) destroyed blocks, high level formatting","b) bad blocks, partitioning","c) bad blocks, low level formatting","d) destroyed blocks, partitioning",c,None.
10,"In SCSI disks used in high end PCs, the controller maintains a list of bad blocks on the disk","['a) sector sparing & forwarding', 'b) forwarding & sector utilization', 'c) backwarding & forwarding', 'd) sector utilization & backwarding']",a) sector sparing & forwarding,b) forwarding & sector utilization,c) backwarding & forwarding,d) sector utilization & backwarding,a,None.
11,An unrecoverable error is known as _________,"['a) hard error', 'b) tough error', 'c) soft error', 'd) none of the mentioned']",a) hard error,b) tough error,c) soft error,d) none of the mentioned,a,None.
