index,question,options,option1,option2,option3,option4,answer,explanation
1,What is Address Binding?,"['a) going to an address in memory', 'b) locating an address with the help of another address', 'c) binding two addresses together to form a new address in a different memory space', 'd) a mapping from one address space to another']",a) going to an address in memory,b) locating an address with the help of another address,c) binding two addresses together to form a new address in a different memory space,d) a mapping from one address space to another,d,None.
2,Binding of instructions and data to memory addresses can be done at ____________,"['a) Compile time', 'b) Load time', 'c) Execution time', 'd) All of the mentioned']",a) Compile time,b) Load time,c) Execution time,d) All of the mentioned,d,None.
3,"If the process can be moved during its execution from one memory segment to another, then binding must be ____________","['a) delayed until run time', 'b) preponed to compile time', 'c) preponed to load time', 'd) none of the mentioned']",a) delayed until run time,b) preponed to compile time,c) preponed to load time,d) none of the mentioned,a,None.
4,What is Dynamic loading?,"['a) loading multiple routines dynamically', 'b) loading a routine only when it is called', 'c) loading multiple routines randomly', 'd) none of the mentioned']",a) loading multiple routines dynamically,b) loading a routine only when it is called,c) loading multiple routines randomly,d) none of the mentioned,b,None.
5,What is the advantage of dynamic loading?,"['a) A used routine is used multiple times', 'b) An unused routine is never loaded', 'c) CPU utilization increases', 'd) All of the mentioned']",a) A used routine is used multiple times,b) An unused routine is never loaded,c) CPU utilization increases,d) All of the mentioned,b,None.
6,The idea of overlays is to ____________,"['a) data that are needed at any given time', 'b) enable a process to be larger than the amount of memory allocated to it', 'c) keep in memory only those instructions', 'd) all of the mentioned']",a) data that are needed at any given time,b) enable a process to be larger than the amount of memory allocated to it,c) keep in memory only those instructions,d) all of the mentioned,d,None.
7,The ___________ must design and program the overlay structure,"['a) programmer', 'b) system architect', 'c) system designer', 'd) none of the mentioned']",a) programmer,b) system architect,c) system designer,d) none of the mentioned,a,None.
8,The ___________ swaps processes in and out of the memory,"['a) Memory manager', 'b) CPU', 'c) CPU manager', 'd) User']",a) Memory manager,b) CPU,c) CPU manager,d) User,a,None.
9,"If a higher priority process arrives and wants service, the memory manager can swap out the lower priority process to execute the higher priority process","['a) priority swapping', 'b) pull out, push in', 'c) roll out, roll in', 'd) none of the mentioned']",a) priority swapping,"b) pull out, push in","c) roll out, roll in",d) none of the mentioned,c,None.
10,"If binding is done at assembly or load time, then the process _____ be moved to different locations after being swapped out and in again","['a) can', 'b) must', 'c) can never', 'd) may']",a) can,b) must,c) can never,d) may,c,None.
11,In a system that does not support swapping ____________,"['a) the compiler normally binds symbolic addresses (variables) to relocatable addresses', 'b) the compiler normally binds symbolic addresses to physical addresses', 'c) the loader binds relocatable addresses to physical addresses', 'd) binding of symbolic addresses to physical addresses normally takes place during execution']",a) the compiler normally binds symbolic addresses (variables) to relocatable addresses,b) the compiler normally binds symbolic addresses to physical addresses,c) the loader binds relocatable addresses to physical addresses,d) binding of symbolic addresses to physical addresses normally takes place during execution,a,None.
12,Which of the following is TRUE?,"['a) Overlays are used to increase the size of physical memory', 'b) Overlays are used to increase the logical address space', 'c) When overlays are used, the size of a process is not limited to the size of the physical memory', 'd) Overlays are used whenever the physical address space is smaller than the logical address space']",a) Overlays are used to increase the size of physical memory,b) Overlays are used to increase the logical address space,"c) When overlays are used, the size of a process is not limited to the size of the physical memory",d) Overlays are used whenever the physical address space is smaller than the logical address space,c,None.
