index,question,options,option1,option2,option3,option4,answer,explanation
1,Which of the following do not belong to queues for processes?,"['a) Job Queue', 'b) PCB queue', 'c) Device Queue', 'd) Ready Queue']",a) Job Queue,b) PCB queue,c) Device Queue,d) Ready Queue,b,PCB queue does not belong to queues for processes. PCB is a process control block which contains information related to process. Each process is represented by PCB.
2,When the process issues an I/O request __________,"['a) It is placed in an I/O queue', 'b) It is placed in a waiting queue', 'c) It is placed in the ready queue', 'd) It is placed in the Job queue']",a) It is placed in an I/O queue,b) It is placed in a waiting queue,c) It is placed in the ready queue,d) It is placed in the Job queue,a,"When the process issues an I/O request it is placed in an I/O queue. I/O is a resource and it should be used effectively and every process should get access to it. There might be multiple processes which requested for I/O. Depending on scheduling algorithm I/O is allocated to any particular process and after completing I/O operation, I/O access is returned to the OS."
3,What will happen when a process terminates?,"['a) It is removed from all queues', 'b) It is removed from all, but the job queue', 'c) Its process control block is de-allocated', 'd) Its process control block is never de-allocated']",a) It is removed from all queues,"b) It is removed from all, but the job queue",c) Its process control block is de-allocated,d) Its process control block is never de-allocated,a,"When a process terminates, it removes from all queues. All allocated resources to that particular process are deallocated and all those resources are returned back to OS."
4,What is a long-term scheduler?,"['a) It selects processes which have to be brought into the ready queue', 'b) It selects processes which have to be executed next and allocates CPU', 'c) It selects processes which heave to remove from memory by swapping', 'd) None of the mentioned']",a) It selects processes which have to be brought into the ready queue,b) It selects processes which have to be executed next and allocates CPU,c) It selects processes which heave to remove from memory by swapping,d) None of the mentioned,a,"A long-term scheduler selects processes which have to be brought into the ready queue. When processes enter the system, they are put in the job queue. Long-term scheduler selects processes from the job queue and puts them in the ready queue. It is also known as Job Scheduler."
5,"If all processes I/O bound, the ready queue will almost always be ______ and the Short term Scheduler will have a ______ to do","['a) full, little', 'b) full, lot', 'c) empty, little', 'd) empty, lot']","a) full, little","b) full, lot","c) empty, little","d) empty, lot",c,"If all processes are I/O bound, the ready queue will almost empty and the short-term scheduler will have a little to do. I/O bound processes spend more time doing I/O than computation."
6,What is a medium-term scheduler?,"['a) It selects which process has to be brought into the ready queue', 'b) It selects which process has to be executed next and allocates CPU', 'c) It selects which process to remove from memory by swapping', 'd) None of the mentioned']",a) It selects which process has to be brought into the ready queue,b) It selects which process has to be executed next and allocates CPU,c) It selects which process to remove from memory by swapping,d) None of the mentioned,c,A medium-term scheduler selects which process to remove from memory by swapping. The medium-term scheduler swapped out the process and later swapped in. Swapping helps to free up memory.
7,What is a short-term scheduler?,"['a) It selects which process has to be brought into the ready queue', 'b) It selects which process has to be executed next and allocates CPU', 'c) It selects which process to remove from memory by swapping', 'd) None of the mentioned']",a) It selects which process has to be brought into the ready queue,b) It selects which process has to be executed next and allocates CPU,c) It selects which process to remove from memory by swapping,d) None of the mentioned,b,A short-term scheduler selects a process which has to be executed next and allocates CPU. Short-term scheduler selects a process from the ready queue. It selects processes frequently.
8,The primary distinction between the short term scheduler and the long term scheduler is __________,"['a) The length of their queues', 'b) The type of processes they schedule', 'c) The frequency of their execution', 'd) None of the mentioned']",a) The length of their queues,b) The type of processes they schedule,c) The frequency of their execution,d) None of the mentioned,c,The primary distinction between the short-term scheduler and the long-term scheduler is the frequency of their execution. The short-term scheduler executes frequently while the long-term scheduler executes much less frequently.
9,The only state transition that is initiated by the user process itself is __________,"['a) block', 'b) wakeup', 'c) dispatch', 'd) none of the mentioned']",a) block,b) wakeup,c) dispatch,d) none of the mentioned,a,The only state transition that is initiated by the user process itself is block. Whenever a user process initiates an I/O request it goes into block state unless and until the I/O request is not completed.
10,"In a time-sharing operating system, when the time slot given to a process is completed, the process goes from the running state to the __________","['a) Blocked state', 'b) Ready state', 'c) Suspended state', 'd) Terminated state']",a) Blocked state,b) Ready state,c) Suspended state,d) Terminated state,b,"In a time-sharing operating system, when the time slot given to a process is completed, the process goes from the running state to the Ready State. In a time-sharing operating system unit time is defined for sharing CPU, it is called a time quantum or time slice. If a process takes less than 1 time quantum, then the process itself releases the CPU."
