index,question,options,option1,option2,option3,option4,answer,explanation
1,"Which principle states that programs, users and even the systems be given just enough privileges to perform their task?","['a) principle of operating system', 'b) principle of least privilege', 'c) principle of process scheduling', 'd) none of the mentioned']",a) principle of operating system,b) principle of least privilege,c) principle of process scheduling,d) none of the mentioned,b,None.
2,_______ is an approach to restricting system access to authorized users,"['a) Role-based access control', 'b) Process-based access control', 'c) Job-based access control', 'd) None of the mentioned']",a) Role-based access control,b) Process-based access control,c) Job-based access control,d) None of the mentioned,a,None.
3,"For system protection, a process should access _____________","['a) all the resources', 'b) only those resources for which it has authorization', 'c) few resources but authorization is not required', 'd) all of the mentioned']",a) all the resources,b) only those resources for which it has authorization,c) few resources but authorization is not required,d) all of the mentioned,b,None.
4,The protection domain of a process contains _____________,"['a) object name', 'b) rights-set', 'c) both object name and rights-set', 'd) none of the mentioned']",a) object name,b) rights-set,c) both object name and rights-set,d) none of the mentioned,c,None.
5,If the set of resources available to the process is fixed throughout the process’s lifetime then its domain is _____________,"['a) static', 'b) dynamic', 'c) neither static nor dynamic', 'd) none of the mentioned']",a) static,b) dynamic,c) neither static nor dynamic,d) none of the mentioned,a,None.
6,Access matrix model for user authentication contains _____________,"['a) a list of objects', 'b) a list of domains', 'c) a function which returns an object’s type', 'd) all of the mentioned']",a) a list of objects,b) a list of domains,c) a function which returns an object’s type,d) all of the mentioned,d,None.
7,Global table implementation of the matrix table contains _____________,"['a) domain', 'b) object', 'c) right-set', 'd) all of the mentioned']",a) domain,b) object,c) right-set,d) all of the mentioned,d,None.
8,For a domain _______ is a list of objects together with the operation allowed on these objects,"['a) capability list', 'b) access list', 'c) both capability and access list', 'd) none of the mentioned']",a) capability list,b) access list,c) both capability and access list,d) none of the mentioned,a,None.
9,Which one of the following is capability based protection system?,"['a) hydra', 'b) cambridge CAP system', 'c) both hydra and cambridge CAP system', 'd) none of the mentioned']",a) hydra,b) cambridge CAP system,c) both hydra and cambridge CAP system,d) none of the mentioned,c,None.
10,"In UNIX, domain switch is accomplished via _____________","['a) file system', 'b) user', 'c) superuser', 'd) none of the mentioned']",a) file system,b) user,c) superuser,d) none of the mentioned,a,None.
