index,question,options,option1,option2,option3,option4,answer,explanation
1,In real time operating system ____________,"['a) all processes have the same priority', 'b) a task must be serviced by its deadline period', 'c) process scheduling can be done only once', 'd) kernel is not required']",a) all processes have the same priority,b) a task must be serviced by its deadline period,c) process scheduling can be done only once,d) kernel is not required,b,None.
2,Hard real time operating system has ______________ jitter than a soft real time operating system,"['a) less', 'b) more', 'c) equal', 'd) none of the mentioned']",a) less,b) more,c) equal,d) none of the mentioned,a,Jitter is the undesired deviation from the true periodicity.
3,"For real time operating systems, interrupt latency should be ____________","['a) minimal', 'b) maximum', 'c) zero', 'd) dependent on the scheduling']",a) minimal,b) maximum,c) zero,d) dependent on the scheduling,a,Interrupt latency is the time duration between the generation of interrupt and execution of its service.
4,In rate monotonic scheduling ____________,"['a) shorter duration job has higher priority', 'b) longer duration job has higher priority', 'c) priority does not depend on the duration of the job', 'd) none of the mentioned']",a) shorter duration job has higher priority,b) longer duration job has higher priority,c) priority does not depend on the duration of the job,d) none of the mentioned,a,None.
5,In which scheduling certain amount of CPU time is allocated to each process?,"['a) earliest deadline first scheduling', 'b) proportional share scheduling', 'c) equal share scheduling', 'd) none of the mentioned']",a) earliest deadline first scheduling,b) proportional share scheduling,c) equal share scheduling,d) none of the mentioned,b,None.
6,The problem of priority inversion can be solved by ____________,"['a) priority inheritance protocol', 'b) priority inversion protocol', 'c) both priority inheritance and inversion protocol', 'd) none of the mentioned']",a) priority inheritance protocol,b) priority inversion protocol,c) both priority inheritance and inversion protocol,d) none of the mentioned,a,None.
7,Time duration required for scheduling dispatcher to stop one process and start another is known as ____________,"['a) process latency', 'b) dispatch latency', 'c) execution latency', 'd) interrupt latency']",a) process latency,b) dispatch latency,c) execution latency,d) interrupt latency,b,None.
8,Time required to synchronous switch from the context of one thread to the context of another thread is called?,"['a) threads fly-back time', 'b) jitter', 'c) context switch time', 'd) none of the mentioned']",a) threads fly-back time,b) jitter,c) context switch time,d) none of the mentioned,c,None.
9,Which one of the following is a real time operating system?,"['a) RTLinux', 'b) VxWorks', 'c) Windows CE', 'd) All of the mentioned']",a) RTLinux,b) VxWorks,c) Windows CE,d) All of the mentioned,d,None.
10,VxWorks is centered around ____________,"['a) wind microkernel', 'b) linux kernel', 'c) unix kernel', 'd) none of the mentioned']",a) wind microkernel,b) linux kernel,c) unix kernel,d) none of the mentioned,a,None.
