index,question,options,option1,option2,option3,option4,answer,explanation
1,What is the breach of integrity?,"['a) This type of violation involves unauthorized reading of data', 'b) This violation involves unauthorized modification of data', 'c) This violation involves unauthorized destruction of data', 'd) This violation involves unauthorized use of resources']",a) This type of violation involves unauthorized reading of data,b) This violation involves unauthorized modification of data,c) This violation involves unauthorized destruction of data,d) This violation involves unauthorized use of resources,b,None.
2,What is breach of confidentiality?,"['a) This type of violation involves unauthorized reading of data', 'b) This violation involves unauthorized modification of data', 'c) This violation involves unauthorized destruction of data', 'd) This violation involves unauthorized use of resources']",a) This type of violation involves unauthorized reading of data,b) This violation involves unauthorized modification of data,c) This violation involves unauthorized destruction of data,d) This violation involves unauthorized use of resources,a,None.
3,What is theft of service?,"['a) This type of violation involves unauthorized reading of data', 'b) This violation involves unauthorized modification of data', 'c) This violation involves unauthorized destruction of data', 'd) This violation involves unauthorized use of resources']",a) This type of violation involves unauthorized reading of data,b) This violation involves unauthorized modification of data,c) This violation involves unauthorized destruction of data,d) This violation involves unauthorized use of resources,d,None.
4,What is breach of availability?,"['a) This type of violation involves unauthorized reading of data', 'b) This violation involves unauthorized modification of data', 'c) This violation involves unauthorized destruction of data', 'd) This violation involves unauthorized use of resources']",a) This type of violation involves unauthorized reading of data,b) This violation involves unauthorized modification of data,c) This violation involves unauthorized destruction of data,d) This violation involves unauthorized use of resources,c,None.
5,What is Trojan horse?,"['a) It is a useful way to encrypt password', 'b) It is a user which steals valuable information', 'c) It is a rogue program which tricks users', 'd) It’s a brute force attack algorithm']",a) It is a useful way to encrypt password,b) It is a user which steals valuable information,c) It is a rogue program which tricks users,d) It’s a brute force attack algorithm,c,None.
6,What is trap door?,"['a) IT is trap door in WarGames', 'b) It is a hole in software left by designer', 'c) It is a Trojan horse', 'd) It is a virus which traps and locks user terminal']",a) IT is trap door in WarGames,b) It is a hole in software left by designer,c) It is a Trojan horse,d) It is a virus which traps and locks user terminal,b,None.
7,Which mechanism is used by worm process?,"['a) Trap door', 'b) Fake process', 'c) Spawn Process', 'd) VAX process']",a) Trap door,b) Fake process,c) Spawn Process,d) VAX process,c,None.
8,Which of the following is not a characteristic of a virus?,"['a) Virus destroy and modify user data', 'b) Virus is a standalone program', 'c) Virus is a code embedded in a legitimate program', 'd) Virus cannot be detected']",a) Virus destroy and modify user data,b) Virus is a standalone program,c) Virus is a code embedded in a legitimate program,d) Virus cannot be detected,d,Virus can be detected by having an antivirus program.
9,What is known as masquerading?,"['a) When one participant in communication pretends to be someone else', 'b) When attacker modifies data in communication', 'c) When attack is of fraudulent repeat of a valid data', 'd) When attack gains access to remote systems']",a) When one participant in communication pretends to be someone else,b) When attacker modifies data in communication,c) When attack is of fraudulent repeat of a valid data,d) When attack gains access to remote systems,a,None.
10,Who unleashed famous worm attack in 1988 which effected UNIX systems and caused losses in millions?,"['a) Robert Morris', 'b) Bob Milano', 'c) Mark zuckerberg', 'd) Bill Gates']",a) Robert Morris,b) Bob Milano,c) Mark zuckerberg,d) Bill Gates,a,None.
11,What is port scanning?,"['a) It is a software used to scan system for attack', 'b) It is a software application designed to probe a server or host for open ports', 'c) It is software used to scan system for introducing attacks by brute force', 'd) None of the mentioned']",a) It is a software used to scan system for attack,b) It is a software application designed to probe a server or host for open ports,c) It is software used to scan system for introducing attacks by brute force,d) None of the mentioned,b,None.
12,Which is not a port scan type?,"['a) TCP scanning', 'b) SYN scanning', 'c) UDP scanning', 'd) SYSTEM  Scanning']",a) TCP scanning,b) SYN scanning,c) UDP scanning,d) SYSTEM  Scanning,d,None.
13,Which is not a valid port scan type?,"['a) ACK scanning', 'b) Window scanning', 'c) IGMP scan', 'd) FIN scanning']",a) ACK scanning,b) Window scanning,c) IGMP scan,d) FIN scanning,c,None.
14,What are zombie systems?,"['a) Are specific system which are designed to attack by manufacturer', 'b) They are network of known hacking group', 'c) These systems are previously compromised independent systems', 'd) None of the mentioned']",a) Are specific system which are designed to attack by manufacturer,b) They are network of known hacking group,c) These systems are previously compromised independent systems,d) None of the mentioned,c,None.
15,What is known as a DOS attack?,"['a) It is attacked to block traffic of network', 'b) It is attacked to harm contents stored in HDD by worm spawn processes', 'c) It is an attempt to make a machine or network resource unavailable', 'd) None of the mentioned']",a) It is attacked to block traffic of network,b) It is attacked to harm contents stored in HDD by worm spawn processes,c) It is an attempt to make a machine or network resource unavailable,d) None of the mentioned,c,None.
16,With regard to DOS attack what is not true from below options?,"['a) We can stop DOS attack completely', 'b) By upgrading OS vulnerability we can stop DOS attack to some extent', 'c) DOS attack has to be stopped at network level', 'd) Such attack can last for hours']",a) We can stop DOS attack completely,b) By upgrading OS vulnerability we can stop DOS attack to some extent,c) DOS attack has to be stopped at network level,d) Such attack can last for hours,a,None.
