index,question,options,option1,option2,option3,option4,answer,explanation
1,Which one of the following is not a secondary storage?,"['a) Magnetic disks', 'b) Magnetic tapes', 'c) RAM', 'd) None of the mentioned']",a) Magnetic disks,b) Magnetic tapes,c) RAM,d) None of the mentioned,c,None.
2,Which private network uses storage protocol rather than networking protocol?,"['a) storage area network', 'b) local area network', 'c) wide area network', 'd) none of the mentioned']",a) storage area network,b) local area network,c) wide area network,d) none of the mentioned,a,None.
3,The time for the disk arm to move the heads to the cylinder containing the desired sector is called ___________,"['a) disk time', 'b) seek time', 'c) arm time', 'd) sector time']",a) disk time,b) seek time,c) arm time,d) sector time,b,None.
4,Which algorithm of disk scheduling selects the request with the least seek time from the current head positions?,"['a) SSTF scheduling', 'b) FCFS scheduling', 'c) SCAN scheduling', 'd) LOOK scheduling']",a) SSTF scheduling,b) FCFS scheduling,c) SCAN scheduling,d) LOOK scheduling,a,None.
5,The operating system is responsible for?,"['a) disk initialization', 'b) booting from disk', 'c) bad-block recovery', 'd) all of the mentioned']",a) disk initialization,b) booting from disk,c) bad-block recovery,d) all of the mentioned,d,None.
6,A swap space can reside in  ___________,"['a) Separate disk partition', 'b) RAM', 'c) Cache', 'd) None of the mentioned']",a) Separate disk partition,b) RAM,c) Cache,d) None of the mentioned,a,None.
7,RAID level 1 refers to ___________,"['a) disk arrays with striping', 'b) disk mirroring', 'c) both disk arrays with striping and disk mirroring', 'd) none of the mentioned']",a) disk arrays with striping,b) disk mirroring,c) both disk arrays with striping and disk mirroring,d) none of the mentioned,b,A variety of disk-organization techniques is called “redundant arrays of independent disks (RAID)”.
8,"When we write something on the disk, which one of the following can not happen?","['a) successful completion', 'b) partial failure', 'c) total failure', 'd) none of the mentioned']",a) successful completion,b) partial failure,c) total failure,d) none of the mentioned,d,None.
9,What will happen during the recovery from a failure?,"['a) each pair of physical block is examined', 'b) specified pair of physical block is examined', 'c) first pair of physical block is examined', 'd) none of the mentioned']",a) each pair of physical block is examined,b) specified pair of physical block is examined,c) first pair of physical block is examined,d) none of the mentioned,a,None.
10,The replacement of a bad block generally is not totally automatic because ___________,"['a) data in bad block can not be replaced', 'b) data in bad block is usually lost', 'c) bad block does not contain any data', 'd) none of the mentioned']",a) data in bad block can not be replaced,b) data in bad block is usually lost,c) bad block does not contain any data,d) none of the mentioned,b,None.
