index,question,options,option1,option2,option3,option4,answer,explanation
1,What is an operating system?,"['a) interface between the hardware and application programs', 'b) collection of programs that manages hardware resources', 'c) system service provider to the application programs', 'd) all of the mentioned']",a) interface between the hardware and application programs,b) collection of programs that manages hardware resources,c) system service provider to the application programs,d) all of the mentioned,d,An Operating System acts as an intermediary between user/user applications/application programs and hardware. It is a program that manages hardware resources. It provides services to application programs.
2,What is the main function of the command interpreter?,"['a) to provide the interface between the API and application program', 'b) to handle the files in the operating system', 'c) to get and execute the next user-specified command', 'd) none of the mentioned']",a) to provide the interface between the API and application program,b) to handle the files in the operating system,c) to get and execute the next user-specified command,d) none of the mentioned,c,The main function of a command interpreter is to get and execute the next user-specified command. Command Interpreter checks for valid command and then runs that command else it will throw an error.
3,"In Operating Systems, which of the following is/are CPU scheduling algorithms?","['a) Priority', 'b) Round Robin', 'c) Shortest Job First', 'd) All of the mentioned']",a) Priority,b) Round Robin,c) Shortest Job First,d) All of the mentioned,d,"In Operating Systems, CPU scheduling algorithms are:"
4,"To access the services of the operating system, the interface is provided by the ___________","['a) Library', 'b) System calls', 'c) Assembly instructions', 'd) API']",a) Library,b) System calls,c) Assembly instructions,d) API,b,"To access services of the Operating System an interface is provided by the System Calls. Generally, these are functions written in C and C++. Open, Close, Read, Write are some of most prominently used system calls."
5,CPU scheduling is the basis of ___________,"['a) multiprogramming operating systems', 'b) larger memory sized systems', 'c) multiprocessor systems', 'd) none of the mentioned']",a) multiprogramming operating systems,b) larger memory sized systems,c) multiprocessor systems,d) none of the mentioned,a,None.
6,Which one of the following is not true?,"['a) kernel remains in the memory during the entire computer session', 'b) kernel is made of various modules which can not be loaded in running operating system', 'c) kernel is the first part of the operating system to load into memory during booting', 'd) kernel is the program that constitutes the central core of the operating system']",a) kernel remains in the memory during the entire computer session,b) kernel is made of various modules which can not be loaded in running operating system,c) kernel is the first part of the operating system to load into memory during booting,d) kernel is the program that constitutes the central core of the operating system,b,"Kernel is the first program that is loaded in memory when OS is loading as well as it remains in memory till OS is running. Kernel is the core part of the OS which is responsible for managing resources, allowing multiple processes to use the resources and provide services to various processes. Kernel modules can be loaded and unloaded in run-time i.e. in running OS."
7,Which one of the following errors will be handle by the operating system?,"['a) lack of paper in printer', 'b) connection failure in the network', 'c) power failure', 'd) all of the mentioned']",a) lack of paper in printer,b) connection failure in the network,c) power failure,d) all of the mentioned,d,"All the mentioned errors are handled by OS. The OS is continuously monitoring all of its resources. Also, the OS is constantly detecting and correcting errors."
8,Where is the operating system placed in the memory?,"['a) either low or high memory (depending on the location of interrupt vector)', 'b) in the low memory', 'c) in the high memory', 'd) none of the mentioned']",a) either low or high memory (depending on the location of interrupt vector),b) in the low memory,c) in the high memory,d) none of the mentioned,a,None.
9,"If a process fails, most operating system write the error information to a ______","['a) new file', 'b) another running process', 'c) log file', 'd) none of the mentioned']",a) new file,b) another running process,c) log file,d) none of the mentioned,c,"If a process fails, most operating systems write the error information to a log file. Log file is examined by the debugger, to find out what is the actual cause of that particular problem. Log file is useful for system programmers for correcting errors."
10,Which one of the following is not a real time operating system?,"['a) RTLinux', 'b) Palm OS', 'c) QNX', 'd) VxWorks']",a) RTLinux,b) Palm OS,c) QNX,d) VxWorks,b,"VxWorks, QNX & RTLinux are real-time operating systems. Palm OS is a mobile operating system. Palm OS is developed for Personal Digital Assistants (PDAs)."
11,What does OS X has?,"['a) monolithic kernel with modules', 'b) microkernel', 'c) monolithic kernel', 'd) hybrid kernel']",a) monolithic kernel with modules,b) microkernel,c) monolithic kernel,d) hybrid kernel,d,OS X has a hybrid kernel. Hybrid kernel is a combination of two different kernels. OS X is developed by Apple and originally it is known as Mac OS X.
12,"In operating system, each process has its own __________","['a) open files', 'b) pending alarms, signals, and signal handlers', 'c) address space and global variables', 'd) all of the mentioned']",a) open files,"b) pending alarms, signals, and signal handlers",c) address space and global variables,d) all of the mentioned,d,"In Operating Systems, each process has its own address space which contains code, data, stack, and heap segments or sections. Each process also has a list of files that is opened by the process as well as all pending alarms, signals, and various signal handlers."
13,"In a timeshare operating system, when the time slot assigned to a process is completed, the process switches from the current state to?","['a) Suspended state', 'b) Terminated state', 'c) Ready state', 'd) Blocked state']",a) Suspended state,b) Terminated state,c) Ready state,d) Blocked state,c,"In a time-sharing operating system, when the time slot given to a process is completed, the process goes from the running state to the Ready State. In a time-sharing operating system, unit time is defined for sharing CPU, it is called a time quantum or time slice. If a process takes less than 1 time quantum, then the process itself releases the CPU."
14,Cascading termination refers to the termination of all child processes if the parent process terminates ______,"['a) Normally or abnormally', 'b) Abnormally', 'c) Normally', 'd) None of the mentioned']",a) Normally or abnormally,b) Abnormally,c) Normally,d) None of the mentioned,a,Cascading termination refers to the termination of all child processes if the parent process terminates Normally or Abnormally. Some systems don’t allow child processes to exist if the parent process has terminated. Cascading termination is normally initiated by the operating system.
15,When a process is in a “Blocked” state waiting for some I/O service,"['a) Terminated state', 'b) Suspended state', 'c) Running state', 'd) Ready state']",a) Terminated state,b) Suspended state,c) Running state,d) Ready state,d,"Suppose that a process is in “Blocked” state waiting for some I/O service. When the service is completed, it goes to the ready state. Process never goes directly to the running state from the waiting state. Only processes which are in ready state go to the running state whenever CPU allocated by operating system."
16,Transient operating system code is a code that ____________,"['a) stays in the memory always', 'b) never enters the memory space', 'c) comes and goes as needed', 'd) is not easily accessible']",a) stays in the memory always,b) never enters the memory space,c) comes and goes as needed,d) is not easily accessible,c,None.
17,The portion of the process scheduler in an operating system that dispatches processes is concerned with ____________,"['a) assigning ready processes to waiting queue', 'b) assigning running processes to blocked queue', 'c) assigning ready processes to CPU', 'd) all of the mentioned']",a) assigning ready processes to waiting queue,b) assigning running processes to blocked queue,c) assigning ready processes to CPU,d) all of the mentioned,c,None.
18,The FCFS algorithm is particularly troublesome for ____________,"['a) operating systems', 'b) multiprocessor systems', 'c) time sharing systems', 'd) multiprogramming systems']",a) operating systems,b) multiprocessor systems,c) time sharing systems,d) multiprogramming systems,c,"In a time sharing system, each user needs to get a share of the CPU at regular intervals."
19,"For an effective operating system, when to check for deadlock?","['a) every time a resource request is made at fixed time intervals', 'b) at fixed time intervals', 'c) every time a resource request is made', 'd) none of the mentioned']",a) every time a resource request is made at fixed time intervals,b) at fixed time intervals,c) every time a resource request is made,d) none of the mentioned,a,"In an effective operating system, we must verify the deadlock each time a request for resources is made at fixed time intervals."
20,A deadlock avoidance algorithm dynamically examines the __________ to ensure that a circular wait condition can never exist,"['a) operating system', 'b) resources', 'c) system storage state', 'd) resource allocation state']",a) operating system,b) resources,c) system storage state,d) resource allocation state,d,Resource allocation states are used to maintain the availability of the already and current available resources.
21,"Swapping _______ be done when a process has pending I/O, or has to execute I/O operations only into operating system buffers","['a) must never', 'b) maybe', 'c) can', 'd) must']",a) must never,b) maybe,c) can,d) must,a,None.
22,The main memory accommodates ____________,"['a) cpu', 'b) user processes', 'c) operating system', 'd) all of the mentioned']",a) cpu,b) user processes,c) operating system,d) all of the mentioned,c,None.
23,The operating system is responsible for?,"['a) bad-block recovery', 'b) booting from disk', 'c) disk initialization', 'd) all of the mentioned']",a) bad-block recovery,b) booting from disk,c) disk initialization,d) all of the mentioned,d,None.
24,The operating system and the other processes are protected from being modified by an already running process because ____________,"['a) every address generated by the CPU is being checked against the relocation and limit registers', 'b) they have a protection algorithm', 'c) they are in different memory spaces', 'd) they are in different logical addresses']",a) every address generated by the CPU is being checked against the relocation and limit registers,b) they have a protection algorithm,c) they are in different memory spaces,d) they are in different logical addresses,a,None.
25,"Using transient code, _______ the size of the operating system during program execution","['a) maintains', 'b) changes', 'c) increases', 'd) decreases']",a) maintains,b) changes,c) increases,d) decreases,b,None.
